issn,year,anti_labor,neutral,pro_labor,total_labor,anti_labor_intensity,railroad_interest,has_editor,has_publisher,state,year_str,political_affiliation_raw,republican,person_republican,pop_1870,pop_1880,pop_1890,county_pop,log_county_pop
2331-9968,1882,45,55,24,124,0.3629032258064516,0,1,0,DISTRICT OF COLUMBIA,1882,Independent,,1.0,131700.0,177624.0,230392.0,188177.6,12.145141476733015
2331-9968,1883,47,60,37,144,0.3263888888888889,0,1,0,DISTRICT OF COLUMBIA,1883,Independent,,1.0,131700.0,177624.0,230392.0,193454.4,12.17279710476532
2331-9968,1884,11,35,23,69,0.15942028985507245,0,1,0,DISTRICT OF COLUMBIA,1884,Independent,,1.0,131700.0,177624.0,230392.0,198731.2,12.199708436847581
2331-9968,1885,28,37,19,84,0.3333333333333333,0,1,0,DISTRICT OF COLUMBIA,1885,Independent,,1.0,131700.0,177624.0,230392.0,204008.0,12.225914487743713
2331-9968,1890,82,117,44,243,0.3374485596707819,0,1,1,DISTRICT OF COLUMBIA,1890,Independent,,1.0,131700.0,177624.0,230392.0,230392.0,12.34753748497882
2332-0974,1884,21,35,85,141,0.14893617021276595,0,1,1,INDIANA,1884,Republican,1.0,1.0,71939.0,102782.0,141156.0,118131.6,11.679554536251079
2332-0974,1885,148,99,91,338,0.4378698224852071,0,1,1,INDIANA,1885,Republican,1.0,1.0,71939.0,102782.0,141156.0,121969.0,11.71152219306628
2332-0974,1890,11,19,6,36,0.3055555555555556,0,1,1,INDIANA,1890,Republican,1.0,1.0,71939.0,102782.0,141156.0,141156.0,11.857620940748442
2372-1375,1869,0,0,3,3,0.0,0,1,1,OHIO,1869,Democratic,0.0,0.0,24584.0,27500.0,27868.0,24584.0,10.109851103810321
2372-1375,1872,3,0,1,4,0.75,0,1,1,OHIO,1872,Democratic,0.0,0.0,24584.0,27500.0,27868.0,25167.2,10.133296838397438
2372-1375,1873,0,0,3,3,0.0,0,1,1,OHIO,1873,Democratic,0.0,0.0,24584.0,27500.0,27868.0,25458.8,10.144816738243348
2372-1375,1876,0,0,3,3,0.0,0,1,1,OHIO,1876,Democratic,0.0,0.0,24584.0,27500.0,27868.0,26333.6,10.178600969312054
2372-1375,1877,5,1,6,12,0.4166666666666667,0,1,1,OHIO,1877,Democratic,0.0,0.0,24584.0,27500.0,27868.0,26625.2,10.189613414720602
2372-1375,1878,3,0,2,5,0.6,0,1,1,OHIO,1878,Democratic,0.0,0.0,24584.0,27500.0,27868.0,26916.8,10.200505905964896
2372-1375,1879,1,1,4,6,0.16666666666666666,0,1,1,OHIO,1879,Democratic,0.0,0.0,24584.0,27500.0,27868.0,27208.4,10.21128102813733
2372-1375,1880,0,0,6,6,0.0,0,1,1,OHIO,1880,Democratic,0.0,0.0,24584.0,27500.0,27868.0,27500.0,10.221941283654663
2372-1375,1882,3,0,14,17,0.17647058823529413,0,1,1,OHIO,1882,Democratic,0.0,0.0,24584.0,27500.0,27868.0,27573.6,10.224614072207265
2372-1375,1883,0,1,12,13,0.0,0,1,1,OHIO,1883,Democratic,0.0,0.0,24584.0,27500.0,27868.0,27610.4,10.225947792323785
2372-1375,1884,1,0,12,13,0.07692307692307693,0,1,1,OHIO,1884,Democratic,0.0,0.0,24584.0,27500.0,27868.0,27647.2,10.227279735999966
2372-1375,1885,0,0,1,1,0.0,0,1,1,OHIO,1885,Democratic,0.0,0.0,24584.0,27500.0,27868.0,27684.0,10.228609907961754
2372-1375,1890,1,0,5,6,0.16666666666666666,0,1,1,OHIO,1890,Democratic,0.0,0.0,24584.0,27500.0,27868.0,27868.0,10.23523435615001
2374-7102,1877,9,3,9,21,0.42857142857142855,1,1,1,,1877,,,0.0,21809.0,24533.0,23421.0,23715.8,10.073896771666384
2374-7102,1878,1,3,5,9,0.1111111111111111,1,1,1,,1878,,,0.0,21809.0,24533.0,23421.0,23988.2,10.085317321755728
2374-7102,1879,6,3,5,14,0.42857142857142855,1,1,1,,1879,,,0.0,21809.0,24533.0,23421.0,24260.6,10.096608914261457
2374-7102,1880,3,2,2,7,0.42857142857142855,1,1,1,,1880,,,0.0,21809.0,24533.0,23421.0,24533.0,10.107774429000033
2374-7102,1882,0,1,6,7,0.0,1,1,1,,1882,,,0.0,21809.0,24533.0,23421.0,24310.6,10.098667748206745
2374-7102,1883,3,4,3,10,0.3,1,1,1,,1883,,,0.0,21809.0,24533.0,23421.0,24199.4,10.094083118448987
2374-7102,1884,4,2,11,17,0.23529411764705882,1,1,1,,1884,,,0.0,21809.0,24533.0,23421.0,24088.2,10.089477373016507
2374-7102,1885,8,2,8,18,0.4444444444444444,1,1,1,,1885,,,0.0,21809.0,24533.0,23421.0,23977.0,10.08485031650177
2375-4281,1882,12,5,7,24,0.5,0,1,1,MICHIGAN,1882,Republican,1.0,1.0,20858.0,27059.0,30952.0,27837.6,10.234142903835776
2375-4281,1883,7,13,1,21,0.3333333333333333,0,1,1,MICHIGAN,1883,Republican,1.0,1.0,20858.0,27059.0,30952.0,28226.9,10.248030702961263
2375-4281,1884,3,9,10,22,0.13636363636363635,0,1,1,MICHIGAN,1884,Republican,1.0,1.0,20858.0,27059.0,30952.0,28616.2,10.261728270011439
2375-4281,1885,1,5,1,7,0.14285714285714285,0,1,1,MICHIGAN,1885,Republican,1.0,1.0,20858.0,27059.0,30952.0,29005.5,10.275240746158756
2375-4281,1890,14,15,12,41,0.34146341463414637,0,1,1,MICHIGAN,1890,Republican,1.0,1.0,20858.0,27059.0,30952.0,30952.0,10.34019289638035
2376-8274,1869,1,0,1,2,0.5,1,0,1,VERMONT,1869,Republican,1.0,1.0,26520.0,25404.0,29606.0,26520.0,10.185654444299798
2471-6340,1871,3,0,13,16,0.1875,0,1,0,,1871,,,1.0,131700.0,177624.0,230392.0,136292.4,11.822557856775648
2471-6340,1872,2,0,11,13,0.15384615384615385,0,1,0,,1872,,,1.0,131700.0,177624.0,230392.0,140884.8,11.855697814139921
2471-6340,1873,2,0,3,5,0.4,0,1,0,,1873,,,1.0,131700.0,177624.0,230392.0,145477.2,11.887774652283866
2474-3224,1871,41,44,63,148,0.27702702702702703,1,0,1,NEW YORK,1871,Independent,,,942292.0,1206299.0,1515301.0,968692.7,13.783702709513262
2474-3224,1872,93,71,77,241,0.38589211618257263,1,0,1,NEW YORK,1872,Independent,,,942292.0,1206299.0,1515301.0,995093.4,13.810591881082011
2474-3224,1873,46,42,70,158,0.2911392405063291,1,0,1,NEW YORK,1873,Independent,,,942292.0,1206299.0,1515301.0,1021494.1,13.836776917403261
2474-3224,1876,27,20,33,80,0.3375,1,0,1,NEW YORK,1876,Independent,,,942292.0,1206299.0,1515301.0,1100696.2,13.911453446657019
2474-3224,1878,47,38,40,125,0.376,1,0,1,NEW YORK,1878,Independent,,,942292.0,1206299.0,1515301.0,1153497.6,13.958309275969594
2474-3224,1879,21,37,23,81,0.25925925925925924,1,0,1,NEW YORK,1879,Independent,,,942292.0,1206299.0,1515301.0,1179898.3,13.980938806286904
2474-3291,1871,0,1,0,1,0.0,0,1,1,MARYLAND,1871,Democratic,0.0,0.0,28619.0,30992.0,32376.0,28856.3,10.270083618980676
2474-3291,1872,1,1,0,2,0.5,0,1,1,MARYLAND,1872,Democratic,0.0,0.0,28619.0,30992.0,32376.0,29093.6,10.278273497699677
2474-3291,1873,3,3,1,7,0.42857142857142855,0,1,1,MARYLAND,1873,Democratic,0.0,0.0,28619.0,30992.0,32376.0,29330.9,10.28639684680586
2474-3291,1876,0,1,0,1,0.0,0,1,1,MARYLAND,1876,Democratic,0.0,0.0,28619.0,30992.0,32376.0,30042.8,10.310378310588971
2474-3291,1877,11,4,4,19,0.5789473684210527,0,1,1,MARYLAND,1877,Democratic,0.0,0.0,28619.0,30992.0,32376.0,30280.1,10.318246010055839
2474-3291,1878,1,6,2,9,0.1111111111111111,0,1,1,MARYLAND,1878,Democratic,0.0,0.0,28619.0,30992.0,32376.0,30517.4,10.326052291730198
2474-3291,1879,2,2,0,4,0.5,0,1,1,MARYLAND,1879,Democratic,0.0,0.0,28619.0,30992.0,32376.0,30754.7,10.333798107083432
2474-3291,1880,1,1,1,3,0.3333333333333333,0,1,1,MARYLAND,1880,Democratic,0.0,0.0,28619.0,30992.0,32376.0,30992.0,10.341484385646778
2474-3291,1882,2,5,1,8,0.25,0,1,1,MARYLAND,1882,Democratic,0.0,0.0,28619.0,30992.0,32376.0,31268.8,10.350376074275813
2474-3291,1883,2,3,2,7,0.2857142857142857,0,1,1,MARYLAND,1883,Democratic,0.0,0.0,28619.0,30992.0,32376.0,31407.2,10.35479244497432
2474-3291,1884,2,2,8,12,0.16666666666666666,0,1,1,MARYLAND,1884,Democratic,0.0,0.0,28619.0,30992.0,32376.0,31545.6,10.359189397071004
2474-3291,1885,9,1,2,12,0.75,0,1,1,MARYLAND,1885,Democratic,0.0,0.0,28619.0,30992.0,32376.0,31684.0,10.36356710058417
2476-2725,1878,1,2,3,6,0.16666666666666666,0,0,1,DELAWARE,1878,Republican,1.0,1.0,63515.0,77716.0,97182.0,74875.8,11.223586019834796
2476-2725,1879,7,8,6,21,0.3333333333333333,0,0,1,DELAWARE,1879,Republican,1.0,1.0,63515.0,77716.0,97182.0,76295.9,11.242374480573188
2476-2725,1880,8,12,32,52,0.15384615384615385,0,0,1,DELAWARE,1880,Republican,1.0,1.0,63515.0,77716.0,97182.0,77716.0,11.260816435363003
2476-2725,1882,17,44,26,87,0.19540229885057472,0,0,1,DELAWARE,1882,Republican,1.0,1.0,63515.0,77716.0,97182.0,81609.2,11.309697279694987
2476-2725,1883,14,35,16,65,0.2153846153846154,0,0,1,DELAWARE,1883,Republican,1.0,1.0,63515.0,77716.0,97182.0,83555.8,11.333269951123393
2476-2725,1884,5,26,33,64,0.078125,0,0,1,DELAWARE,1884,Republican,1.0,1.0,63515.0,77716.0,97182.0,85502.4,11.35629972470633
2476-2725,1885,17,21,18,56,0.30357142857142855,0,0,1,DELAWARE,1885,Republican,1.0,1.0,63515.0,77716.0,97182.0,87449.0,11.378811045275592
2476-2725,1890,0,5,0,5,0.0,0,0,1,DELAWARE,1890,Republican,1.0,1.0,63515.0,77716.0,97182.0,97182.0,11.484340788114451
2572-5904,1882,1,3,0,4,0.25,0,1,0,WISCONSIN,1882,Republican,1.0,,3912.0,8981.0,18127.0,10810.2,9.28824541184971
2572-5904,1883,11,3,1,15,0.7333333333333333,0,1,0,WISCONSIN,1883,Republican,1.0,,3912.0,8981.0,18127.0,11724.8,9.3694615355997
2572-5904,1884,4,2,3,9,0.4444444444444444,0,1,0,WISCONSIN,1884,Republican,1.0,,3912.0,8981.0,18127.0,12639.4,9.44457419821976
2572-5904,1885,4,6,1,11,0.36363636363636365,0,1,0,WISCONSIN,1885,Republican,1.0,,3912.0,8981.0,18127.0,13554.0,9.514436985696058
2572-5904,1890,23,28,11,62,0.3709677419354839,0,1,0,WISCONSIN,1890,Republican,1.0,,3912.0,8981.0,18127.0,18127.0,9.805157818462918
2572-6943,1880,10,13,24,47,0.2127659574468085,1,1,0,CONNECTICUT,1880,Republican,1.0,1.0,121257.0,156523.0,209058.0,156523.0,11.960958243020299
2572-6943,1882,24,13,11,48,0.5,1,1,0,CONNECTICUT,1882,Republican,1.0,1.0,121257.0,156523.0,209058.0,167030.0,12.025928715983992
2572-6943,1883,20,19,17,56,0.35714285714285715,1,1,0,CONNECTICUT,1883,Republican,1.0,1.0,121257.0,156523.0,209058.0,172283.5,12.056896654726717
2572-6943,1884,21,15,26,62,0.3387096774193548,1,1,0,CONNECTICUT,1884,Republican,1.0,1.0,121257.0,156523.0,209058.0,177537.0,12.086934316879004
2572-6943,1885,29,26,25,80,0.3625,1,1,0,CONNECTICUT,1885,Republican,1.0,1.0,121257.0,156523.0,209058.0,182790.5,12.116095967286306
2572-6943,1890,33,17,12,62,0.532258064516129,1,1,0,CONNECTICUT,1890,Republican,1.0,1.0,121257.0,156523.0,209058.0,209058.0,12.250367004409348
2574-6928,1869,1,0,1,2,0.5,1,1,1,DELAWARE,1869,,,1.0,63515.0,77716.0,97182.0,63515.0,11.059031377457561
2575-1271,1882,3,6,2,11,0.2727272727272727,0,1,0,ALABAMA,1882,Republican,1.0,1.0,31267.0,37625.0,38119.0,37723.8,10.538046473984998
2575-1271,1883,1,8,0,9,0.1111111111111111,0,1,0,ALABAMA,1883,Republican,1.0,1.0,31267.0,37625.0,38119.0,37773.2,10.539355135443074
2575-1271,1884,1,5,5,11,0.09090909090909091,0,1,0,ALABAMA,1884,Republican,1.0,1.0,31267.0,37625.0,38119.0,37822.6,10.540662086544373
2575-1271,1885,3,15,1,19,0.15789473684210525,0,1,0,ALABAMA,1885,Republican,1.0,1.0,31267.0,37625.0,38119.0,37872.0,10.541967331753765
2575-1271,1890,9,22,6,37,0.24324324324324326,0,1,1,ALABAMA,1890,Republican,1.0,1.0,31267.0,37625.0,38119.0,38119.0,10.548468124475464
2576-5604,1882,2,4,1,7,0.2857142857142857,0,1,1,WISCONSIN,1882,Republican,1.0,1.0,34040.0,32156.0,33530.0,32430.8,10.386863867513906
2576-5604,1883,2,1,1,4,0.5,0,1,1,WISCONSIN,1883,Republican,1.0,1.0,34040.0,32156.0,33530.0,32568.2,10.391091631161258
2576-5604,1884,0,2,6,8,0.0,0,1,1,WISCONSIN,1884,Republican,1.0,1.0,34040.0,32156.0,33530.0,32705.6,10.395301596045712
2576-5604,1885,9,4,4,17,0.5294117647058824,0,1,0,WISCONSIN,1885,Republican,1.0,1.0,34040.0,32156.0,33530.0,32843.0,10.399493911403768
2576-5604,1890,14,11,3,28,0.5,0,1,0,WISCONSIN,1890,Republican,1.0,1.0,34040.0,32156.0,33530.0,33530.0,10.420195839460273
2576-568X,1876,1,1,0,2,0.5,0,1,1,WISCONSIN,1876,Neutral,,,1122.0,655.0,13468.0,841.8,6.7355424563364705
2576-6139,1869,3,12,2,17,0.17647058823529413,1,1,0,,1869,,,0.0,28831.0,37457.0,41557.0,28831.0,10.269206476121777
2576-6139,1871,11,18,15,44,0.25,1,1,0,,1871,,,0.0,28831.0,37457.0,41557.0,29693.6,10.298686813354381
2576-6139,1872,15,59,13,87,0.1724137931034483,1,1,0,,1872,,,0.0,28831.0,37457.0,41557.0,30556.2,10.32732288999917
2576-6139,1873,13,10,4,27,0.48148148148148145,1,1,0,,1873,,,0.0,28831.0,37457.0,41557.0,31418.8,10.355161718846025
2576-6139,1876,4,4,11,19,0.21052631578947367,1,1,0,,1876,,,0.0,28831.0,37457.0,41557.0,34006.6,10.434309902406964
2576-6139,1877,62,33,33,128,0.484375,1,1,0,,1877,,,0.0,28831.0,37457.0,41557.0,34869.2,10.45935919704919
2576-6139,1878,7,14,19,40,0.175,1,1,0,,1878,,,0.0,28831.0,37457.0,41557.0,35731.8,10.483796327582288
2577-4166,1869,1,1,1,3,0.3333333333333333,1,1,1,,1869,,,1.0,22346.0,25285.0,30426.0,22346.0,10.014402613107283
2577-4166,1872,1,0,0,1,1.0,1,1,1,,1872,,,1.0,22346.0,25285.0,30426.0,22933.8,10.040367083883499
2577-6754,1880,16,18,43,77,0.2077922077922078,1,1,0,WEST VIRGINIA,1880,Democratic,0.0,0.0,28831.0,37457.0,41557.0,37457.0,10.530948887366618
2577-6754,1882,91,72,54,217,0.41935483870967744,1,1,0,WEST VIRGINIA,1882,Democratic,0.0,0.0,28831.0,37457.0,41557.0,38277.0,10.552604472589852
2577-6754,1883,54,49,39,142,0.38028169014084506,1,1,0,WEST VIRGINIA,1883,Democratic,0.0,0.0,28831.0,37457.0,41557.0,38687.0,10.563258905272352
2577-6754,1884,15,36,65,116,0.12931034482758622,1,1,0,WEST VIRGINIA,1884,Democratic,0.0,0.0,28831.0,37457.0,41557.0,39097.0,10.57380101668713
2639-6327,1869,0,0,1,1,0.0,0,1,1,IOWA,1869,,,0.0,6282.0,10837.0,11182.0,6282.0,8.745443680098592
2639-6327,1873,0,0,1,1,0.0,0,1,1,IOWA,1873,,,0.0,6282.0,10837.0,11182.0,7648.5,8.94226482916332
2639-6327,1876,1,0,0,1,1.0,0,1,1,IOWA,1876,,,0.0,6282.0,10837.0,11182.0,9015.0,9.106645135637418
2639-6327,1877,4,0,2,6,0.6666666666666666,0,1,1,IOWA,1877,,,0.0,6282.0,10837.0,11182.0,9470.5,9.155936983096796
2639-6327,1878,1,2,0,3,0.3333333333333333,0,1,1,IOWA,1878,,,0.0,6282.0,10837.0,11182.0,9926.0,9.202912856147385
2639-6327,1879,0,1,0,1,0.0,0,1,1,IOWA,1879,,,0.0,6282.0,10837.0,11182.0,10381.5,9.247780654950027
2639-6327,1880,0,0,1,1,0.0,0,1,1,IOWA,1880,,,0.0,6282.0,10837.0,11182.0,10837.0,9.290721483922995
2639-6327,1882,4,1,19,24,0.16666666666666666,0,1,1,IOWA,1882,,,0.0,6282.0,10837.0,11182.0,10906.0,9.297068375486006
2639-6327,1883,2,5,8,15,0.13333333333333333,0,1,1,IOWA,1883,,,0.0,6282.0,10837.0,11182.0,10940.5,9.300226778770707
2639-6327,1884,2,1,25,28,0.07142857142857142,0,1,1,IOWA,1884,,,0.0,6282.0,10837.0,11182.0,10975.0,9.303375237943373
2639-6327,1885,6,3,14,23,0.2608695652173913,0,1,1,IOWA,1885,,,0.0,6282.0,10837.0,11182.0,11009.5,9.30651381542484
2639-6327,1890,4,7,4,15,0.26666666666666666,0,1,1,IOWA,1890,,,0.0,6282.0,10837.0,11182.0,11182.0,9.32206062158659
2640-5164,1882,13,7,8,28,0.4642857142857143,1,1,0,WEST VIRGINIA,1882,,,0.0,,,,,
2640-5164,1883,8,18,11,37,0.21621621621621623,1,1,0,WEST VIRGINIA,1883,,,0.0,,,,,
2640-5164,1884,6,9,8,23,0.2608695652173913,1,1,0,WEST VIRGINIA,1884,,,0.0,,,,,
2641-0028,1873,7,7,4,18,0.3888888888888889,0,1,1,NEVADA,1873,Republican,1.0,,11359.0,16115.0,8806.0,12785.8,9.456090459095776
2641-0028,1876,2,1,1,4,0.5,0,1,1,NEVADA,1876,Republican,1.0,,11359.0,16115.0,8806.0,14212.6,9.561884174093844
2641-0028,1877,18,4,13,35,0.5142857142857142,0,1,1,NEVADA,1877,Republican,1.0,,11359.0,16115.0,8806.0,14688.2,9.5947997293253
2641-0028,1878,2,8,8,18,0.1111111111111111,0,1,1,NEVADA,1878,Republican,1.0,,11359.0,16115.0,8806.0,15163.8,9.626666287417093
2641-0028,1879,4,9,4,17,0.23529411764705882,0,1,0,NEVADA,1879,Republican,1.0,,11359.0,16115.0,8806.0,15639.4,9.65754865019206
2641-0028,1880,3,4,3,10,0.3,0,1,0,NEVADA,1880,Republican,1.0,,11359.0,16115.0,8806.0,16115.0,9.687505794249539
2641-0028,1882,2,2,0,4,0.5,0,1,0,NEVADA,1882,Republican,1.0,,11359.0,16115.0,8806.0,14653.2,9.592414020626977
2643-6574,1873,1,1,0,2,0.5,1,0,1,IOWA,1873,Republican,1.0,1.0,22346.0,25285.0,30426.0,23227.7,10.053100810961661
2643-6574,1877,28,11,12,51,0.5490196078431373,1,1,1,IOWA,1877,Republican,1.0,1.0,22346.0,25285.0,30426.0,24403.3,10.10247364803803
2643-6574,1878,3,2,6,11,0.2727272727272727,1,1,1,IOWA,1878,Republican,1.0,1.0,22346.0,25285.0,30426.0,24697.2,10.114445155866415
2643-7473,1869,0,2,0,2,0.0,0,1,1,,1869,,,,24436.0,25111.0,23058.0,24436.0,10.103812733769658
2643-7473,1871,2,5,0,7,0.2857142857142857,0,1,1,,1871,,,,24436.0,25111.0,23058.0,24503.5,10.106571243472565
2643-7473,1873,0,3,1,4,0.0,0,1,1,,1873,,,,24436.0,25111.0,23058.0,24638.5,10.112065539171022
2693-5732,1882,49,21,46,116,0.4224137931034483,1,0,1,GEORGIA,1882,Democratic,0.0,0.0,41279.0,45023.0,57740.0,47566.4,10.76988190861432
2693-5732,1883,51,59,33,143,0.35664335664335667,1,0,1,GEORGIA,1883,Democratic,0.0,0.0,41279.0,45023.0,57740.0,48838.1,10.796266024929015
2693-5732,1884,36,71,48,155,0.23225806451612904,1,0,1,GEORGIA,1884,Democratic,0.0,0.0,41279.0,45023.0,57740.0,50109.8,10.821971876726488
2693-5732,1885,69,59,26,154,0.44805194805194803,1,0,1,GEORGIA,1885,Democratic,0.0,0.0,41279.0,45023.0,57740.0,51381.5,10.847033464476734
2693-5767,1890,129,128,37,294,0.4387755102040816,1,0,1,GEORGIA,1890,,,0.0,,,,,
2694-3352,1876,0,0,10,10,0.0,1,1,1,,1876,,,0.0,23085.0,45890.0,139796.0,36768.0,10.512383180648483
2694-3352,1877,12,15,37,64,0.1875,1,1,1,,1877,,,0.0,23085.0,45890.0,139796.0,39048.5,10.572559742238127
2694-3352,1878,11,2,41,54,0.2037037037037037,1,1,1,,1878,,,0.0,23085.0,45890.0,139796.0,41329.0,10.629319711713425
