issn,year,railroad_interest,has_editor,has_publisher
0034-5075,1871,1,1,1
0034-5075,1872,1,1,1
0034-5075,1873,1,1,1
0034-5075,1876,1,1,1
0034-5075,1877,1,1,1
0034-5075,1879,1,1,1
1941-0646,1869,0,1,0
1941-0646,1871,0,1,0
1941-0646,1873,1,1,0
1941-0646,1876,1,1,0
1941-0646,1877,1,1,0
1941-0646,1878,1,1,0
1941-0646,1879,1,1,0
1941-0646,1880,1,1,0
1941-0646,1882,1,1,0
1941-0646,1883,1,1,0
1941-0646,1884,1,1,0
1941-0646,1885,1,1,0
1941-0646,1890,1,0,1
1941-0654,1879,1,0,1
1941-0654,1880,1,0,1
1941-0654,1882,1,0,1
1943-8990,1878,0,1,1
1943-8990,1879,0,1,1
1943-8990,1880,0,1,1
1943-8990,1882,0,1,1
1943-8990,1883,0,1,1
1943-8990,1884,0,1,1
1943-8990,1885,0,1,1
1943-8990,1890,0,1,1
1946-6080,1882,1,1,0
1946-6080,1890,1,1,0
1946-6153,1869,1,1,1
1946-6153,1871,1,1,1
1946-6153,1872,1,1,1
1946-6153,1873,1,1,1
1946-6153,1876,1,1,1
1946-6153,1877,1,1,1
1946-6153,1878,1,1,1
1946-6153,1879,1,1,1
1946-6153,1880,1,0,1
1946-6153,1882,1,1,1
1946-6153,1883,1,1,1
1946-6153,1884,1,1,1
1946-6153,1885,1,1,1
2151-3899,1869,1,1,0
2151-3899,1871,1,1,0
2151-3899,1872,1,1,0
2151-3899,1873,1,1,0
2151-3899,1876,1,1,0
2151-3899,1890,1,1,0
2157-3425,1885,1,1,0
2158-2688,1869,1,1,1
2158-2688,1871,1,1,1
2158-2688,1872,1,1,1
2158-2688,1873,1,1,1
2158-2688,1877,1,1,1
2158-2688,1878,1,1,1
2158-2688,1879,1,1,1
2158-2688,1880,1,1,1
2158-2688,1882,1,1,1
2158-2688,1883,1,1,1
2158-2688,1884,1,1,1
2158-2688,1885,1,1,1
2158-2793,1871,0,1,1
2158-2793,1872,0,1,1
2158-2793,1873,0,1,1
2158-2793,1876,0,1,1
2158-2793,1877,0,1,1
2158-2793,1878,0,1,1
2158-2793,1879,0,0,1
2158-2793,1880,0,1,0
2158-2793,1883,0,1,1
2158-8996,1884,0,1,0
2158-8996,1885,0,1,0
2158-8996,1890,0,1,0
2158-9062,1869,0,1,1
2158-9062,1871,0,1,1
2158-9062,1872,0,1,1
2158-9062,1873,0,1,1
2158-9062,1876,0,1,1
2158-9062,1877,0,1,1
2158-9062,1878,0,1,1
2158-9062,1879,0,1,1
2158-9062,1880,0,1,1
2158-9062,1882,0,1,1
2158-9062,1883,0,1,1
2158-9062,1884,0,1,1
2158-9062,1885,0,1,1
2158-9062,1890,0,1,1
2159-3752,1872,0,0,1
2159-3752,1873,0,0,1
2159-3752,1876,0,0,1
2159-3752,1877,0,0,1
2159-3752,1878,0,0,1
2159-3752,1879,0,0,1
2159-3752,1880,0,0,1
2159-3752,1882,0,0,1
2159-3752,1883,0,0,1
2159-3752,1884,0,0,1
2159-3752,1885,0,0,1
2159-3752,1890,0,0,1
2163-4424,1872,1,1,1
2163-4424,1873,1,1,1
2163-4424,1877,1,1,1
2163-4424,1878,1,1,1
2163-4424,1879,1,1,1
2163-4424,1880,1,1,1
2163-4424,1882,1,1,1
2163-4424,1883,1,1,1
2163-4424,1884,1,1,1
2163-4424,1885,1,1,1
2165-8862,1880,0,0,1
2165-8862,1882,0,0,1
2165-8862,1883,0,0,1
2165-8862,1885,0,0,1
2165-8862,1890,0,0,1
2165-9141,1880,0,1,1
2165-9141,1882,0,1,1
2165-9141,1883,0,1,1
2165-9141,1890,0,1,1
2166-1898,1869,0,1,1
2166-1898,1871,0,1,1
2166-1898,1872,0,1,1
2166-1898,1873,0,1,1
2166-1898,1876,0,1,1
2166-1898,1877,0,1,1
2166-1898,1878,0,1,1
2166-1898,1879,0,1,1
2166-1898,1880,0,1,1
2166-1898,1882,0,1,1
2166-1898,1883,0,1,1
2166-1898,1884,0,1,1
2166-1898,1885,0,1,1
2166-5664,1869,0,1,1
2166-5664,1871,0,1,1
2166-5664,1872,0,1,1
2166-5664,1873,0,1,1
2166-5664,1876,0,1,1
2166-5664,1877,0,1,0
2166-5664,1878,0,1,1
2166-5664,1879,0,1,1
2166-5664,1880,0,1,1
2166-5664,1882,0,1,1
2166-5664,1883,0,1,1
2166-5664,1884,0,1,1
2166-5664,1885,0,1,1
2166-5664,1890,0,1,1
2166-5958,1869,0,0,1
2166-5958,1871,0,0,1
2166-5958,1872,0,0,1
2166-5958,1873,0,0,1
2168-0116,1878,0,1,1
2168-0116,1879,0,1,1
2168-0116,1880,0,1,1
2168-0116,1885,1,1,1
2168-0116,1890,1,1,1
2327-6568,1869,1,1,1
2327-6568,1871,1,1,1
2327-6568,1878,1,1,1
2327-6568,1879,1,1,1
2327-6568,1880,1,1,0
2327-6568,1882,1,1,1
2327-6568,1883,1,1,1
2327-6568,1884,1,1,1
2327-6568,1885,1,1,1
2327-6568,1890,1,1,1
2328-5990,1869,0,0,1
2328-5990,1871,0,0,1
2328-5990,1872,0,0,1
2328-5990,1873,0,0,1
2328-5990,1876,0,0,1
2328-5990,1877,0,0,1
2328-5990,1878,0,0,1
2328-5990,1879,0,0,1
2328-5990,1880,0,0,1
2328-5990,1882,0,0,1
2328-5990,1883,0,0,1
2328-5990,1890,0,0,1
2331-7728,1869,1,1,1
2331-7728,1871,1,1,1
2331-7728,1872,1,1,1
2331-7728,1873,1,1,1
2331-7728,1876,1,1,1
2331-7728,1877,1,1,1
2331-7728,1878,1,1,1
2331-7728,1879,1,1,1
2331-7728,1880,1,1,1
2331-7728,1882,1,1,1
2331-7728,1883,1,1,1
2331-7728,1884,1,1,1
2331-7728,1885,1,1,1
2331-7728,1890,1,1,1
2331-9968,1869,0,1,1
2331-9968,1871,0,1,1
2331-9968,1872,0,1,1
2331-9968,1873,0,1,1
2331-9968,1877,0,1,0
2331-9968,1878,0,1,0
2331-9968,1879,0,1,0
2331-9968,1880,0,1,0
2331-9968,1882,0,1,0
2331-9968,1883,0,1,0
2331-9968,1884,0,1,0
2331-9968,1885,0,1,0
2331-9968,1890,0,1,1
2332-0974,1869,0,1,0
2332-0974,1880,0,0,1
2332-0974,1882,0,1,1
2332-0974,1884,0,1,1
2332-0974,1885,0,1,1
2332-0974,1890,0,1,1
2372-1375,1869,0,1,1
2372-1375,1871,0,1,1
2372-1375,1872,0,1,1
2372-1375,1873,0,1,1
2372-1375,1876,0,1,1
2372-1375,1877,0,1,1
2372-1375,1878,0,1,1
2372-1375,1879,0,1,1
2372-1375,1880,0,1,1
2372-1375,1882,0,1,1
2372-1375,1883,0,1,1
2372-1375,1884,0,1,1
2372-1375,1885,0,1,1
2372-1375,1890,0,1,1
2374-5789,1871,0,1,0
2374-7102,1871,1,1,1
2374-7102,1872,1,1,1
2374-7102,1873,1,1,1
2374-7102,1876,1,1,1
2374-7102,1877,1,1,1
2374-7102,1878,1,1,1
2374-7102,1879,1,1,1
2374-7102,1880,1,1,1
2374-7102,1882,1,1,1
2374-7102,1883,1,1,1
2374-7102,1884,1,1,1
2374-7102,1885,1,1,1
2374-7102,1890,1,1,1
2375-3137,1880,0,0,1
2375-4281,1882,0,1,1
2375-4281,1883,0,1,1
2375-4281,1884,0,1,1
2375-4281,1885,0,1,1
2375-4281,1890,0,1,1
2376-8274,1869,1,0,1
2471-6340,1871,0,1,0
2471-6340,1872,0,1,0
2471-6340,1873,0,1,0
2474-3224,1871,1,0,1
2474-3224,1872,1,0,1
2474-3224,1873,1,0,1
2474-3224,1876,1,0,1
2474-3224,1878,1,0,1
2474-3224,1879,1,0,1
2474-3224,1880,1,0,1
2474-3224,1882,1,0,1
2474-3224,1883,1,0,1
2474-3224,1884,1,0,1
2474-3224,1885,1,0,1
2474-3291,1871,0,1,1
2474-3291,1872,0,1,1
2474-3291,1873,0,1,1
2474-3291,1876,0,1,1
2474-3291,1877,0,1,1
2474-3291,1878,0,1,1
2474-3291,1879,0,1,1
2474-3291,1880,0,1,1
2474-3291,1882,0,1,1
2474-3291,1883,0,1,1
2474-3291,1884,0,1,1
2474-3291,1885,0,1,1
2474-3291,1890,0,1,1
2476-2725,1869,0,0,1
2476-2725,1871,0,0,1
2476-2725,1872,0,0,1
2476-2725,1873,0,0,1
2476-2725,1876,0,0,1
2476-2725,1877,0,0,1
2476-2725,1878,0,0,1
2476-2725,1879,0,0,1
2476-2725,1880,0,0,1
2476-2725,1882,0,0,1
2476-2725,1883,0,0,1
2476-2725,1884,0,0,1
2476-2725,1885,0,0,1
2476-2725,1890,0,0,1
2572-5904,1882,0,1,0
2572-5904,1883,0,1,0
2572-5904,1884,0,1,0
2572-5904,1885,0,1,0
2572-5904,1890,0,1,0
2572-6943,1876,1,1,0
2572-6943,1877,1,1,0
2572-6943,1878,1,1,0
2572-6943,1879,1,1,0
2572-6943,1880,1,1,0
2572-6943,1882,1,1,0
2572-6943,1883,1,1,0
2572-6943,1884,1,1,0
2572-6943,1885,1,1,0
2572-6943,1890,1,1,0
2574-6928,1869,1,1,1
2574-6928,1871,1,1,1
2574-6928,1872,1,1,1
2574-6928,1873,1,1,1
2574-6928,1876,1,1,1
2574-6928,1877,1,1,1
2575-1271,1879,0,1,1
2575-1271,1880,0,1,0
2575-1271,1882,0,1,0
2575-1271,1883,0,1,0
2575-1271,1884,0,1,0
2575-1271,1885,0,1,0
2575-1271,1890,0,1,1
2576-5604,1882,0,1,1
2576-5604,1883,0,1,1
2576-5604,1884,0,1,1
2576-5604,1885,0,1,0
2576-5604,1890,0,1,0
2576-568X,1876,0,1,1
2576-6139,1869,1,1,0
2576-6139,1871,1,1,0
2576-6139,1872,1,1,0
2576-6139,1873,1,1,0
2576-6139,1876,1,1,0
2576-6139,1877,1,1,0
2576-6139,1878,1,1,0
2576-6139,1879,1,1,0
2576-6139,1880,1,1,0
2576-6139,1882,1,1,0
2576-6139,1883,1,1,0
2576-6139,1884,1,1,0
2576-6139,1885,1,1,0
2577-4166,1869,1,1,1
2577-4166,1871,1,1,1
2577-4166,1872,1,1,1
2577-4166,1873,1,1,1
2577-4166,1876,1,1,1
2577-4166,1877,1,1,1
2577-4166,1878,1,1,1
2577-4166,1879,1,1,1
2577-4166,1880,1,1,1
2577-4166,1882,1,1,1
2577-4166,1883,1,1,1
2577-4166,1884,1,1,1
2577-4166,1885,1,1,1
2577-4166,1890,1,1,1
2577-6754,1869,1,1,0
2577-6754,1871,1,1,0
2577-6754,1872,1,1,0
2577-6754,1873,1,1,0
2577-6754,1880,1,1,0
2577-6754,1882,1,1,0
2577-6754,1883,1,1,0
2577-6754,1884,1,1,0
2639-6327,1869,0,1,1
2639-6327,1871,0,1,1
2639-6327,1872,0,1,1
2639-6327,1873,0,1,1
2639-6327,1876,0,1,1
2639-6327,1877,0,1,1
2639-6327,1878,0,1,1
2639-6327,1879,0,1,1
2639-6327,1880,0,1,1
2639-6327,1882,0,1,1
2639-6327,1883,0,1,1
2639-6327,1884,0,1,1
2639-6327,1885,0,1,1
2639-6327,1890,0,1,1
2640-5164,1869,1,1,0
2640-5164,1871,1,1,0
2640-5164,1872,1,1,0
2640-5164,1873,1,1,0
2640-5164,1880,1,1,0
2640-5164,1882,1,1,0
2640-5164,1883,1,1,0
2640-5164,1884,1,1,0
2641-0028,1873,0,1,1
2641-0028,1876,0,1,1
2641-0028,1877,0,1,1
2641-0028,1878,0,1,1
2641-0028,1879,0,1,0
2641-0028,1880,0,1,0
2641-0028,1882,0,1,0
2643-6574,1869,1,1,0
2643-6574,1871,1,1,1
2643-6574,1872,1,0,1
2643-6574,1873,1,0,1
2643-6574,1876,1,1,1
2643-6574,1877,1,1,1
2643-6574,1878,1,1,1
2643-6574,1879,1,0,1
2643-6574,1880,1,0,1
2643-6574,1882,1,0,1
2643-6574,1883,1,0,1
2643-6574,1884,1,0,1
2643-7473,1869,0,1,1
2643-7473,1871,0,1,1
2643-7473,1872,0,1,1
2643-7473,1873,0,1,1
2693-5732,1869,1,0,1
2693-5732,1871,1,0,1
2693-5732,1872,1,0,1
2693-5732,1873,1,0,1
2693-5732,1876,1,0,1
2693-5732,1877,1,0,1
2693-5732,1878,1,0,1
2693-5732,1879,1,0,1
2693-5732,1880,1,0,1
2693-5732,1882,1,0,1
2693-5732,1883,1,0,1
2693-5732,1884,1,0,1
2693-5732,1885,1,0,1
2693-5732,1890,1,0,1
2693-5767,1869,1,0,1
2693-5767,1871,1,0,1
2693-5767,1872,1,0,1
2693-5767,1873,1,0,1
2693-5767,1876,1,0,1
2693-5767,1877,1,0,1
2693-5767,1878,1,0,1
2693-5767,1879,1,0,1
2693-5767,1880,1,0,1
2693-5767,1882,1,0,1
2693-5767,1883,1,0,1
2693-5767,1884,1,0,1
2693-5767,1885,1,0,1
2693-5767,1890,1,0,1
2694-3352,1876,1,1,1
2694-3352,1877,1,1,1
2694-3352,1878,1,1,1
